#   gal ID      M*           (g-r)       SFR
    2436    2.8791e+07     0.7434    1.0000e-05
    2571    2.9394e+07     0.7615    1.0000e-05
    2630    3.3541e+07     0.7629    1.0000e-05
    2763    2.8459e+07     0.7787    1.0000e-05
    2848    3.1855e+07     0.7879    1.0000e-05
    2868    2.9396e+07     0.7262    1.0000e-05
    2874    2.8526e+07     0.7413    1.0000e-05
    2933    3.6898e+07     0.8187    1.0000e-05
    2940    2.5537e+07     0.7634    1.0000e-05
    3353    3.2322e+07     0.8326    1.0000e-05
   63890    5.0562e+08     0.3736    6.8653e-02
   63892    8.3308e+08     0.3167    1.0860e-01
   63906    1.2276e+09     0.5361    3.8115e-02
   63908    4.9905e+08     0.3113    6.4414e-02
   63909    2.3782e+08     0.2750    5.9759e-02
   63915    3.5962e+08     0.5994    1.0000e-05
   63922    3.6535e+08     0.3768    5.5610e-02
   63923    6.6507e+08     0.3069    1.6325e-01
   63924    1.1941e+09     0.6719    1.0000e-05
   63932    5.9893e+08     0.5329    2.4095e-02
   63933    1.1682e+09     0.4120    2.9709e-02
   63934    8.5888e+08     0.6953    1.0000e-05
   63935    8.3640e+08     0.3865    8.0275e-02
   63937    7.8508e+08     0.6850    1.0000e-05
   63938    5.3832e+08     0.6858    1.0000e-05
   63939    6.2305e+08     0.5762    1.0000e-05
   63941    7.1939e+08     0.6576    1.0000e-05
   63942    6.8475e+08     0.6845    1.0000e-05
   63946    8.2946e+07     0.1862    3.7615e-02
   63949    4.1498e+08     0.6639    1.0000e-05
   63952    9.4774e+07     0.3492    2.0161e-02
   63953    2.6286e+08     0.2140    5.1279e-02
   63954    4.5232e+08     0.6753    1.0000e-05
   63955    1.0860e+08     0.4687    2.1200e-03
   63956    2.0454e+08     0.6586    1.0000e-05
   63958    2.0740e+08     0.4904    1.2987e-02
   63959    2.1262e+08     0.6896    1.0000e-05
   63960    5.9687e+08     0.6764    1.0000e-05
   63962    4.2141e+08     0.6583    1.0000e-05
   63963    1.2628e+08     0.6723    1.0000e-05
   63964    4.1608e+08     0.6974    1.0000e-05
   63965    5.8858e+08     0.7077    1.0000e-05
   63966    4.2625e+08     0.7046    1.0000e-05
   63967    1.9142e+08     0.6676    1.0000e-05
   63968    8.5634e+08     0.7092    1.0000e-05
   63969    1.3930e+08     0.6712    1.0000e-05
   63970    2.2977e+08     0.6810    1.0000e-05
   63971    1.6065e+08     0.6032    1.0000e-05
   63972    3.1797e+07     0.2152    6.0170e-03
   63973    1.2194e+09     0.7594    1.0000e-05
   63974    1.2216e+08     0.5861    1.0000e-05
   63975    6.7382e+07     0.5597    1.4621e-03
   63976    2.4526e+08     0.6136    5.0264e-04
   63977    1.6696e+08     0.6312    1.0000e-05
   63978    1.9148e+08     0.6892    1.0000e-05
   63979    1.1528e+09     0.7781    1.0000e-05
   63980    3.4666e+07     0.2313    2.8434e-02
   63981    1.4524e+08     0.6782    1.0000e-05
   63982    5.2263e+08     0.6854    1.0000e-05
   63983    1.8184e+08     0.6556    1.0000e-05
   63984    3.9824e+08     0.6727    1.0000e-05
   63985    4.8607e+07     0.6458    1.0000e-05
   63986    1.9955e+08     0.6286    1.0000e-05
   63987    1.2557e+08     0.5085    1.0000e-05
   63989    7.4037e+08     0.7279    1.0000e-05
   63991    3.5137e+08     0.6850    1.0000e-05
   63992    1.0644e+08     0.6689    1.0000e-05
   63993    1.0530e+09     0.7764    1.0000e-05
   63994    8.2844e+07     0.4144    3.9293e-03
   63995    4.8760e+08     0.7173    1.0000e-05
   63996    1.5405e+08     0.6400    1.0000e-05
   63997    2.7227e+07     0.5111    6.5536e-05
   63998    1.5060e+08     0.6629    1.0000e-05
   63999    1.5462e+08     0.6462    1.0000e-05
   64000    2.7451e+07     0.6577    1.0000e-05
   64002    1.1642e+09     0.8383    1.0000e-05
   64004    5.5979e+08     0.7090    1.0000e-05
   64005    8.6893e+07     0.6513    1.0000e-05
   64006    5.3758e+08     0.6984    1.0000e-05
   64007    7.6802e+08     0.7576    1.0000e-05
   64009    2.5408e+08     0.6297    1.0000e-05
   64010    1.5880e+08     0.6837    1.0000e-05
   64011    2.5177e+08     0.6759    1.0000e-05
   64012    5.1668e+07     0.6046    1.0000e-05
   64013    6.2465e+07     0.6186    1.0000e-05
   64014    2.8284e+08     0.6714    1.0000e-05
   64015    3.9002e+07     0.6651    1.0000e-05
   64017    1.7764e+08     0.4798    1.0000e-05
   64019    9.4134e+07     0.6354    1.0000e-05
   64020    4.8176e+07     0.3813    1.0000e-05
   64021    2.8528e+07     0.6308    1.0000e-05
   64023    3.3879e+07     0.6214    1.0000e-05
   64024    4.5865e+07     0.6439    1.0000e-05
   64025    4.3327e+08     0.6953    1.0000e-05
   64026    5.0360e+08     0.7266    1.0000e-05
   64027    6.8414e+07     0.6732    1.0000e-05
   64028    1.2049e+08     0.6884    1.0000e-05
   64029    6.5341e+08     0.7643    1.0000e-05
   64032    6.1556e+07     0.6369    1.0000e-05
   64033    2.7768e+07     0.6458    1.0000e-05
   64036    5.1568e+07     0.6451    1.0000e-05
   64037    2.8883e+07     0.6416    1.0000e-05
   64038    5.9741e+08     0.7466    1.0000e-05
   64040    6.0605e+07     0.6847    1.0000e-05
   64041    3.0083e+08     0.7264    1.0000e-05
   64042    9.3759e+07     0.6678    1.0000e-05
   64043    2.7425e+07     0.5878    1.0000e-05
