#     M*           rh* 
   5.4202e+07     1.3095
   9.9658e+07     1.2639
   9.0020e+07     1.2785
   1.3547e+08     0.7141
   3.8000e+07     1.2435
   3.6505e+07     1.8220
   2.8459e+07     1.4793
   2.9638e+07     1.6419
   2.6876e+07     1.4427
   1.2722e+08     0.5355
   8.0995e+07     0.6387
   4.4478e+07     1.4685
   1.1981e+08     0.4389
   4.6917e+07     1.2482
   3.4684e+07     1.4960
   7.2576e+07     0.8340
   7.0161e+07     0.9426
   3.5982e+07     1.8594
   4.6716e+07     1.2087
   5.9863e+07     0.9691
   5.9561e+07     1.1744
   3.4492e+07     1.2705
   3.5294e+07     0.9333
   5.5117e+07     0.7713
   4.5577e+07     1.4085
   3.5386e+07     1.2236
   3.5594e+07     1.5182
   3.6601e+07     0.8239
   2.7537e+07     1.0147
   2.6633e+07     1.2626
   2.7092e+07     0.5958
   6.9204e+08     1.4644
   9.1248e+08     1.0911
   8.5988e+08     1.3791
   1.2280e+09     2.2022
   1.2185e+09     1.4824
   1.1438e+09     1.2353
   2.7150e+08     1.4874
   3.9574e+08     2.5985
   2.5472e+08     1.9288
   8.4917e+08     2.4097
   8.3866e+08     2.1247
   2.5318e+08     1.1148
   1.8804e+08     4.1812
   3.3041e+08     1.0496
   1.2056e+09     2.3174
   3.4996e+08     0.9521
   6.6333e+08     2.8544
   3.5591e+08     1.2202
   7.8832e+07     0.9308
   6.9834e+08     2.5158
   2.8617e+08     0.3851
   1.1637e+09     1.4977
   1.3070e+08     1.2718
   2.6656e+08     1.8763
   1.9854e+08     0.6878
   6.8205e+08     1.2091
   1.5448e+08     0.9577
   7.6190e+08     1.8692
   4.8921e+08     2.5340
   2.2238e+08     0.4490
   1.8790e+08     1.0083
   1.7604e+08     0.5831
   1.1062e+09     2.2894
   4.8353e+08     1.3671
   2.6626e+08     1.1289
   3.2322e+08     2.3597
   1.0834e+09     1.6396
   2.0489e+08     1.0629
   1.0934e+09     1.1627
   1.0483e+08     1.1372
   7.4664e+08     1.9953
   5.4128e+08     1.6922
   6.9487e+07     0.9600
   1.2845e+08     0.8069
   3.5104e+08     1.4332
   6.9026e+08     1.5387
   6.7254e+07     0.9354
   3.0130e+08     1.4259
   5.7985e+08     1.7810
