#   gal ID      M*           rh* 
   96979    1.8550e+08     1.4746
   96987    6.2126e+07     1.4118
   96988    1.3647e+08     1.0513
   96989    2.5309e+07     1.6485
   96993    7.8634e+07     1.5324
   96996    5.0314e+07     1.5587
   97001    4.0168e+07     1.6848
   97002    1.5288e+08     1.4050
   97003    4.3484e+07     1.7455
   97005    9.7605e+07     0.9558
   97009    1.0179e+08     1.5537
   97014    5.6690e+07     1.4471
   97015    4.5766e+07     1.4582
   97018    7.6403e+07     1.5946
   97019    2.4558e+08     0.3914
   97021    1.6010e+08     0.7573
   97026    8.3420e+07     1.5235
   97030    6.7323e+07     2.0153
   97039    1.4232e+08     1.3515
   97049    3.3610e+07     1.8656
   97067    2.5261e+07     1.6921
   97070    1.3682e+08     0.8547
   97082    8.5964e+07     1.2056
   97083    2.5710e+07     1.6421
   97088    5.6255e+07     1.2165
   97095    7.0137e+07     1.8693
   97096    3.7101e+07     1.5699
   97099    4.5355e+07     1.7097
   97106    3.6314e+07     1.6738
   97109    4.6217e+07     1.7978
   97128    5.1631e+07     1.5393
   97131    9.4748e+07     1.0004
   97135    1.1466e+08     0.8658
   97139    5.6583e+07     0.8173
   97141    1.0053e+08     1.3545
   97145    1.1466e+08     0.8536
   97161    9.9146e+07     0.5463
   97163    2.9671e+07     2.1347
   97184    2.5457e+07     1.7715
   97197    2.5738e+07     1.5732
   97198    4.8375e+07     1.5682
   97206    6.7280e+07     0.9671
   97219    2.6470e+07     1.5315
   97240    2.6587e+07     2.0055
   97267    6.8473e+07     1.3952
   97274    6.0054e+07     1.1646
   97293    4.4219e+07     1.8200
   97298    3.2496e+07     1.4544
   97299    5.0392e+07     1.4762
   97300    2.7400e+07     1.3728
   97305    3.0723e+07     1.7007
   97315    3.4976e+07     1.3991
   97399    2.7440e+07     1.3058
   97515    3.6234e+07     1.2688
   97560    3.1193e+07     1.5067
   97574    3.7243e+07     0.7437
   97585    4.8730e+07     0.6755
  117285    7.2746e+08     1.4570
  117287    6.2682e+08     3.5837
  117290    4.9997e+08     1.9547
  117291    3.4601e+08     1.6943
  117293    7.9602e+08     1.5931
  117295    7.2548e+08     2.6112
  117298    3.6623e+08     2.0495
  117299    6.5257e+08     2.2290
  117301    8.9409e+08     2.9392
  117303    7.6548e+08     0.5703
  117305    3.5613e+08     1.5482
  117307    5.7335e+08     2.3056
  117309    8.6973e+08     1.3182
  117311    1.0868e+09     0.6279
  117312    6.0275e+07     0.8418
  117313    1.0493e+08     0.6302
  117314    7.2833e+08     1.5963
  117315    1.6265e+08     2.1268
  117316    2.8212e+08     0.6339
  117317    3.5674e+08     0.4569
  117318    1.3451e+08     1.1114
  117320    5.7350e+08     4.3030
  117321    1.6402e+08     0.6154
  117322    2.1636e+08     1.2520
  117325    1.1051e+09     2.9319
  117326    4.4994e+07     1.3426
  117327    1.1238e+08     0.5755
  117331    3.2792e+08     1.3164
  117332    1.6882e+08     0.8109
  117333    5.0774e+08     1.7784
  117335    6.1580e+08     2.0606
  117336    1.2039e+09     1.3397
  117337    5.8211e+07     1.0167
  117338    1.1137e+08     1.4078
  117339    1.6127e+08     2.1795
  117340    7.5526e+07     0.9708
  117342    6.0230e+07     0.9628
  117344    2.3409e+08     1.0699
  117345    6.4939e+07     1.1057
  117347    1.4335e+08     0.5868
  117348    2.4562e+08     1.6653
  117349    7.0366e+08     2.0055
  117350    2.5415e+08     1.7707
  117351    2.9559e+08     2.7295
  117352    5.0773e+08     2.0366
  117355    3.4283e+07     1.3163
  117358    1.7973e+08     0.9730
  117359    5.7489e+07     1.0466
  117360    1.0295e+08     1.9465
  117362    8.9922e+07     1.1047
  117363    3.9483e+07     1.6178
  117365    2.4027e+08     1.2356
  117366    1.0913e+08     1.9652
  117367    4.4817e+07     1.2619
